Intent,Example Query
account_balance,What is my account balance?
account_closing,I want to close my account
account_opening,How can I open a new bank account?
credit_card_block,I lost my credit card, can you block it?
transaction_history,Can I get a list of all my transactions for this month?
loan_information,Tell me about personal loan options
fund_transfer,I want to transfer money to another account
loan_repayment,How can I repay my loan?
atm_withdrawal,Where can I withdraw money from an ATM?
credit_score_check,Check my credit score
branch_locator,Find the nearest branch to me
online_banking,How can I access online banking?
bank_statement_request,I need a bank statement for last month
debit_card_block,Block my debit card immediately
mortgage_payment,How can I make my mortgage payment?
bill_payment,Pay my electricity bill
account_verification,How do I verify my account?
savings_account_info,Give me information about savings accounts
interest_rates,What are the current interest rates?
transaction_dispute,I need to dispute a transaction
loan_status,Check the status of my loan application
personal_loan,How do I apply for a personal loan?
credit_card_apply,How can I apply for a new credit card?
loan_interest,What is the interest rate on a home loan?
atm_pin_change,How do I change my ATM PIN?
account_statement,Send me my account statement for the last 6 months
account_balance_check,What is the balance in my checking account?
international_transfer,Can I make an international wire transfer?
deposit_check,How do I deposit a check into my account?
credit_card_payment,When is my credit card payment due?
loan_approval,Is my loan application approved?
customer_service,Connect me to customer service
bank_loan,How do I apply for a bank loan?
online_transaction,How can I make an online payment?
card_replacement,My debit card is damaged, how do I get a replacement?
check_balance,What is my balance right now?
transfer_money,How do I transfer money to another account?
personal_account,How do I access my personal account online?
wire_transfer,Can you help me with a wire transfer?
refund_request,I want to request a refund for a transaction
new_credit_card,Can I get a new credit card with a higher limit?
loan_calculator,What would be my monthly payment for a $100,000 loan?
atm_location,Where is the nearest ATM to me?
mobile_banking,How do I set up mobile banking?
transaction_alert,How do I set up transaction alerts?
overdraft_protection,What is overdraft protection and how do I get it?
balance_enquiry,Can I check my balance online?
credit_card_statement,Send me my credit card statement
banking_app,How can I download the banking app?
payment_history,Can I get my payment history for the last year?
funds_available,When will my deposit be available for withdrawal?
bank_account_verification,How do I verify my bank account?
debit_card_limit,How do I increase my debit card limit?
savings_plan,What is the best savings plan you offer?
check_deposit,Can I deposit a check through the mobile app?
loan_terms,What are the terms of my car loan?
transaction_fee,What are the fees for transferring money internationally?
bank_location,Where is the closest bank branch to me?
mobile_wallet,How do I set up mobile wallet payments?
credit_limit_increase,Can I increase my credit card limit?
mortgage_loan,Can I apply for a mortgage loan online?
bank_card_support,How can I get support for my bank card?
tax_loan,How do I apply for a tax loan?
fraud_alert,I think I have been a victim of fraud, what should I do?
account_frozen,Why has my account been frozen?
daily_spending,What is my daily spending limit on my card?
interest_calculation,How is interest calculated on my savings account?
savings_account_rate,What is the interest rate on a savings account?
investment_opportunity,Do you offer investment opportunities?
